id,X,Y,M,V
2800,-257.6198,-42.25227,101.34732,0.4095219
2801,323.5937,-280.60294,74.33184,0.36297747
2802,-234.49141,127.46614,33.344337,0.36244190000000004
2803,158.4059,276.6973,25.254549,0.36664286
2804,-165.59874,193.32959,117.352005,0.43938488
2805,236.75485,-138.44398,52.16968,0.6359732
2806,-209.52563,246.73434,119.87478999999999,0.77141136
2807,-216.33502000000001,-311.35406,40.202984,0.7378186999999999
2808,-179.9578,115.71016999999999,164.48643,0.30516315
2809,116.21569,381.5388,49.849667,0.7730153000000001
2810,62.765933999999994,105.60470600000001,110.38468,0.99254733
2811,-225.83857999999998,264.74286,83.148285,0.20312802
2812,217.80836000000002,310.0387,101.84954,0.5746053000000001
2813,-20.044905,-4.1226400000000005,48.121063,0.21004847
2814,-36.901540000000004,-145.78801,46.732162,0.9143044
2815,-319.2485,-266.08725,101.488884,0.8944211999999999
2816,11.03531,-236.015,51.931816,0.5883861
2817,-60.075584,-157.74713,157.5131,0.3649485
2818,23.470772,268.82452,66.66778000000001,0.65992546
2819,189.36436,-259.12552,128.14496,0.39929786
2820,237.68127,-365.70752000000005,84.054085,0.88186306
2821,-309.43027,-18.29835,90.83872,0.19866277
2822,343.52182,158.19818,43.981968,0.400717
2823,332.58887000000004,-125.78872,111.22813400000001,0.6743415
2824,293.70044,-315.1856,52.858074,0.9433581
2825,230.77829,-375.36685,53.934943999999994,0.42672
2826,211.6036,211.9016,65.80763,0.5966560000000001
2827,235.66608,195.74721,132.75046,0.44103253
2828,344.60004,150.27786,152.69037,0.7207752
2829,-107.01938999999999,403.88027999999997,88.9806,0.5544509
2830,247.57752999999997,-38.978584000000005,54.990306999999994,0.39485753
2831,-151.29453999999998,155.50276000000002,96.521355,0.91480273
2832,339.4592,-284.09735,46.33726,0.67693865
2833,-357.28537,-172.27456999999998,141.71861,0.42398816
2834,214.06874,-310.9202,125.41638999999999,0.94758785
2835,-153.50697,-6.2012105,107.219246,0.5650979
2836,-387.98065,279.14462000000003,145.12245,0.37830585
2837,112.23218500000002,397.61017000000004,97.52186,0.34070563
2838,-151.19453000000001,-259.78372,137.55876,0.20728616
2839,-150.28555,326.7495,104.13488000000001,0.50191283
2840,377.80576,243.56416000000002,132.77496000000002,0.48307148
2841,-1.4517632,-276.44608,44.928309999999996,0.5943896
2842,-107.116165,312.25802999999996,175.27948,0.8717021
2843,-391.03754,-289.98834,55.622643000000004,0.4038329
2844,-349.2915,304.4391,88.14543,0.35621083
2845,127.85911000000002,-157.18605,24.820314,0.25467974
2846,146.17183,-317.52835,57.26854,0.20247427
2847,284.38802999999996,-201.08792,90.464455,0.71335614
2848,114.94563000000001,53.13415500000001,157.5783,0.66892314
2849,314.77966000000004,18.018463,146.53467,0.19871247
2850,-317.77518,-14.011652999999999,56.01885,0.29059523
2851,376.56323,-120.06138,92.49686,0.8586927
2852,-333.0578,-190.78816,64.11536,0.2120159
2853,351.31872999999996,-284.7003,48.60683,0.57999223
2854,-395.74457,41.024723,102.16134,0.74292123
2855,-292.73917,261.7061,149.5878,0.5398445
2856,-328.87326,-276.21957000000003,141.3847,0.45871282
2857,271.10468,-104.96465,107.598404,0.59018534
2858,-152.7381,172.14362,104.59540600000001,0.7792498000000001
2859,-36.35577,-134.33472,82.38283,0.5643536
2860,-338.69162,121.42971999999999,38.00464,0.20935595
2861,374.0388,56.23465699999999,132.25533000000001,0.6253825
2862,70.54847,49.189840000000004,85.24345,0.9131969999999999
2863,-319.16832999999997,329.47012,138.56403999999998,0.5979397
2864,-290.1871,-52.230564,25.127326999999998,0.44547470000000006
2865,396.17447000000004,-272.4081,71.24951,0.82258403
2866,166.45207,-85.08713,136.23375,0.63830364
2867,317.21646,193.92266999999998,101.168526,0.3623133
2868,99.66038499999999,-107.78826000000001,61.750248,0.6554960999999999
2869,40.365147,78.32231999999999,25.244482,0.82611
2870,-285.48044,-175.28354,163.92433,0.5695394
2871,-137.97128,11.716314,68.740105,0.20454451
2872,-338.66116,-76.09427,130.46222,0.24043518
2873,145.3951,-389.6847,148.67847,0.69964063
2874,90.07822,-110.95121,105.92950400000001,0.39074683
2875,-179.07637,-309.3865,62.051190000000005,0.9786209000000001
2876,1.4326191000000001,-296.61118,130.82306,0.27469537
2877,209.91966000000002,210.2279,87.64771999999999,0.36914977
2878,-153.38239,-228.6473,25.189325,0.42147243
2879,303.5918,290.5863,86.135994,0.19769832
2880,392.87692000000004,-239.5341,131.98717,0.41900770000000004
2881,-333.29152999999997,20.750965,103.052475,0.6352505999999999
2882,-285.38138,249.49979,145.87091,0.87030995
2883,-212.3064,-21.190348,130.03825,0.6084576
2884,364.56833,199.72531,108.105934,0.7907773
2885,118.6801,-120.75768000000001,112.28629,0.691455
2886,183.0886,-301.6464,100.90007,0.42042428
2887,-239.84913999999998,44.94615,129.45665,0.8379236999999999
2888,-187.18227,202.21988000000002,106.6081,0.3727295
2889,371.64575,-22.515556,120.13817,0.35576296
2890,301.59628,-44.796634999999995,74.20444499999999,0.8515883
2891,87.87359000000001,233.5489,25.626312,0.69188344
2892,-28.993896000000003,-29.040508000000003,70.74045600000001,0.39257145
2893,-315.84946,-308.66925,122.76981,0.23859341
2894,-242.04526,-306.48016,88.28029000000001,0.53847337
2895,-183.64508,-333.28287,119.59492,0.40317379999999997
2896,-281.4255,-32.674446,118.60557,0.69713056
2897,152.01968,-347.22125,156.5716,0.21594039
2898,102.52006999999999,-321.94156,87.287796,0.90481234
